CRASH ID,LATITUDE,LONGITUDE,YEAR,SEVERITY
NCR - 00000001,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000002,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000003,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000004,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000005,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000006,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000007,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000008,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000009,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000010,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000011,14.5870° N,121.0540° E,2023,FATAL
NCR - 00000012,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000013,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000014,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000015,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000016,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000017,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000018,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000019,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000020,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000021,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000022,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000023,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000024,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000025,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000026,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000027,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000028,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000029,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000030,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000031,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000032,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000033,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000034,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000035,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000036,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000037,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000038,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000039,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000040,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000041,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000042,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000043,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000044,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000045,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000046,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000047,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000048,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000049,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000050,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000051,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000052,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000053,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000054,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000055,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000056,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000057,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000058,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000059,14.5870° N,121.0540° E,2023,NON FATAL
NCR - 00000060,14.5870° N,121.0540° E,2023,NON FATAL
